" kommerzielle spiele / commercial games ",""
"                                        ",""
"64 ohzumou          ","64 Ohzumou"
"oozumo 64           ","64 Ohzumou"
"a bug's life        ","A Bug's Life"
"aerofighters assault","Aerofighters Assault"
"aero fighters assaul","Aerofighters Assault"
"aerofighters assaul ","Aerofighters Assault"
"aerogauge           ","Aerogauge"
"aero gauge          ","Aerogauge"
"air boarder 64      ","Airboarders 64"
"airboarder 64       ","Airboarders 64"
"airboarder64        ","Airboarders 64"
"airboarders 64      ","Airboarders 64"
"airboarders64       ","Airboarders 64"
"dracula mokushiroku2","Akumajou Dracula Mokushiroku Gaiden 2"
"all star baseball 99","All Star Baseball '99"
"all-star baseball 99","All Star Baseball '99"
"all-star baseball '0","All Star Baseball 2000"
"all-star baseball 00","All Star Baseball 2000"
"all-star baseball 20","All Star Baseball 2001"
"all star tennis '99 ","All Star Tennis '99"
"armorines project s.","Armorines Project Swarm"
"army men sarge      ","Army Men Sarge's Heroes"
"art of fight        ","Art of Fight"
"asteroids hyper 64  ","Asteroids Hyper 64"
"lamborghini         ","Automobili Lamborghini"
"lamborghini 64      ","Automobili Lamborghini"
"baku-bomberman      ","Baku Bomberman"
"baku bomberman      ","Baku Bomberman"
"bakubomb2           ","Baku Bomberman 2"
"bangaioh            ","Bakuretsu Muteki Bangaioh"
"bakushou jinsei 64  ","Bakushou Jinsei 64"
"banjo-kazooie       ","Banjo-Kazooie"
"banjo-kazooie   czn ","Banjo-Kazooie"
"banjo kazooie       ","Banjo-Kazooie"
"bassfishingno.1     ","Bass Fishing No. 1"
"bass hunter 64      ","Bass Hunter 64"
"bassmasters2000     ","Bass Masters 2000"
"battlephoenix64     ","Battle Phoenix 64"
"battletanx          ","Battle Tanx"
"battle tanx         ","Battle Tanx"
"battletanxga        ","Battle Tanx 2 - Global Assault"
"battlezone          ","Battlezone - Rise Of The Black Dogs"
"beastwarsmetals64   ","Beast Wars Metals"
"beetle adventure rac","Beetle Adventure Racing"
"beetle adventure jp ","Beetle Adventure Racing"
"bio freaks          ","Bio Freaks"
"biofreaks           ","Bio Freaks"
"biohazard ii        ","Bio Hazard 2"
"bio tetris 64       ","Bio Tetris 64"
"blades of steel '99 ","Blades of Steel '99"
"blastdozer          ","Blast Dozer"
"body harvest        ","Body Harvest"
"bomberman64u        ","Bomberman 64"
"bomberman64e        ","Bomberman 64"
"bomberman64         ","Bomberman 64"
"bomberman 64        ","Bomberman 64"
"bomberman hero      ","Bomberman Hero"
"bottom of the 9th   ","Bottom of the 9th"
"brunswickbowling    ","Brunswick Circuit Pro Bowling"
"buck bumble         ","Buck Bumble"
"bust a move '99     ","Bust 'A' Move '99"
"bust a move 2       ","Bust 'A' Move 2"
"bust a move 3 dx    ","Bust 'A' Move 3"
"cal speed           ","California Speed"
"castlevania         ","Castlevania"
"castlevania 64      ","Castlevania"
"castlevania2        ","Castlevania 2 - Legacy of Darkness"
"centre court tennis ","Centre Court Tennis"
"chameleon twist     ","Chameleon Twist"
"chameleon twist2    ","Chameleon Twist 2"
"charlie blast's     ","Charlie Blast's Territory"
"chopper_attack      ","Chopper Attack"
"choroq64            ","Choro Q 64"
"city tour gp        ","City Tour Grand Prix"
"clayfighter sc      ","Clayfighter Sculptor"
"clayfighter: sc     ","Clayfighter Sculptor"
"clayfighter scut    ","Clayfighter Sculptor"
"clayfighter sclp cut","Clayfighter Sculptor"
"command&conquer     ","Command and Conquer"
"custom robo         ","Custom Robo"
"cruis'n world       ","Cruis'n World"
"cybertiger          ","Cyber Tiger"
"daikatana           ","Daikatana"
"dark rift           ","Dark Rift"
"deadlyarts          ","Deadly Arts"
"destruct derby      ","Destruction Derby"
"dezaemon3d          ","Dezaemon 3D"
"diddy kong cracked  ","Diddy Kong Racing cracked"
"tarzan              ","Disney's Tarzan"
"donkey kong 64      ","Donkey Kong 64"
"d k display         ","Donkey Kong Demoversion"
"doom64              ","Doom 64"
"doom                ","Doom 64"
"doreamon            ","Doreamon"
"dorameon2           ","Doreamon 2"
"doraemon 2          ","Doreamon 2"
"dracula mokushiroku ","Dracula Mokushi Roku"
"dual heroes japan   ","Dual Heroes"
"dual heroes usa     ","Dual Heroes"
"dual heroes         ","Dual Heroes"
"dual heroes pal     ","Dual Heroes"
"duke nukem          ","Duke Nukem"
"duke nukem 3d       ","Duke Nukem"
"duke nukem 64       ","Duke Nukem"
"duke nukem zero hour","Duke Nukem Zero Hour"
"earthworm jim 3d    ","Earthworm Jim 3D"
"ecw hardcore revolut","ECW Hardcore Revolution"
"elmo's letter advent","Elmo's Letter Adventure"
"elmo's number journe","Elmo's Number Journey"
"eltail              ","Eltail Monsters"
"evangelion          ","Evangelion"
"extremeg            ","Extreme G"
"extreme g           ","Extreme G"
"extreme_g           ","Extreme G"
"extreme g 2         ","Extreme G 2"
"f1 pole position 64 ","F1 Pole Position"
"f1 world grand prix ","F1 World Grand Prix"
"f1 world grand prix2","F1 World Grand Prix 2"
"kakutou denshou     ","F-Cup Maniacs"
"famista 64          ","Famista 64"
"fifa: rtwc 98       ","FIFA '98 - Road to World Cup"
"fifa soccer 64      ","FIFA Soccer 64"
"fifa 99             ","FIFA '99"
"fighting cup        ","Fighting Cup"
"fighter's destiny   ","Fighter's Destiny"
"fighter's destiny fr","Fighter's Destiny"
"fighters destiny    ","Fighter's Destiny"
"fighting force      ","Fighting Force"
"fire electric pen   ","Fire Electric Pen"
"flying dragon       ","Flying Dragon"
"fly dragon fighters ","Flying Dragon"
"forsaken            ","Forsaken"
"fox sports hoops 99 ","Fox Sports Hoops '99"
"game of life 64     ","Game of Life"
"ganbake goemon      ","Ganbake Goemon"
"goemons great adv   ","Ganbake Goemon 2 - Goemon's Great Adventure"
"ganbare goemon 5    ","Ganbake Goemon 5"
"g.a.s.p!!fighters'ne","G.A.S.P ! Fighter's NEXTream"
"g.a.s.p. fighters   ","G.A.S.P ! Fighter's NEXTream"
"gauntlet legends    ","Gauntlet Legends"
"getter love!!       ","Getter Love !"
"gex: enter the gecko","Gex 3D - Enter The Gecko"
"gex 3 deep cover gec","Gex 3 - Deep Cover Gecko"
"glover              ","Glover"
"goemon2 derodero    ","Goemon 2 Derodero"
"goldeneye           ","Golden Eye"
"golden nugget 64    ","Golden Nugget 64"
"gt64                ","GT64 Championship Edition"
"harvestmoon64       ","Harvest Moon 64"
"heiwa pachinko world","Heiwa Pachinko World"
"heiwa            64 ","Heiwa Pachinko World"
"hexen               ","Hexen 64"
"hexen 64            ","Hexen 64"
"hexen german        ","Hexen 64"
"holy magic century  ","Holy Magic Century"
"kirby64             ","Hoshi no Kirby 64"
"hot wheels turbo    ","Hot Wheels Turbo"
"hsv adventure racing","HSV Adventure Racing"
"human grand prix    ","Human Grand Prix"
"hybrid heaven jp    ","Hybrid Heaven"
"hybrid heaven usa   ","Hybrid Heaven"
"hybrid heaven pal   ","Hybrid Heaven"
"hybrid heaven       ","Hybrid Heaven"
"hydro thunder       ","Hydro Thunder"
"i s s 64            ","I.S.S. 64"
"international sup s ","I.S.S. 64"
"isss64              ","I.S.S. 64"
"i.s.s.98            ","I.S.S. '98"
"j.world cup 98      ","I.S.S. '98"
"iss 98              ","I.S.S. '98"
"iggy's reckin' balls","Iggy's Reckin' Balls"
"burabura poyon      ","Iggy-kun no Bura Bura Poyon (Iggy's Reckin' Balls)"
"jeopardy!           ","Jeopardy !"
"jeremy mcgrath super","Jeremy McGrath Supercross 2000"
"jet force gemini    ","Jet Force Gemini"
"j f g display       ","Jet Force Gemini (Display Cartridge)"
"g1stable            ","Jikkyou G1 Stable"
"pawapuro 2000       ","Jikkyo Pawapuro Baseball 2000"
"jinsei-game64       ","Jinsei Game"
"j_league 1997       ","Justice League '97 Eleven Beat"
"j league 1997       ","Justice League '97 Eleven Beat"
"perfect striker2    ","Justice League '99 Perfect Striker 2"
"dynamite soccer 64  ","Justice League - Dynamite Soccer"
"j league live 64    ","Justice League Live 64"
"j world soccer3     ","Justice League World Soccer 3"
"ken griffey slugfest","Ken Griffey Jr's Slugfest"
"king hill 64        ","King Hill 64"
"kiwame 64           ","Kiwame 64"
"pro mah-jong kiwame ","Kiwame 64"
"knife edge          ","Knife Edge - Nose Gunner"
"knockout kings 2000 ","Knockout Kings 2000"
"konami puzzle       ","Konami Puzzle"
"kuiki-uhabi-suigo   ","Kuiki Uhabi Suigo"
"lastlegion ux       ","Last Legion UX"
"legoracers          ","LEGO Racers"
"let's smash         ","Let's Smash Tennis"
"lode runner 3d      ","Lode Runner 3D"
"mace:  the dark age ","Mace - The Dark Age"
"mace: the dark age  ","Mace - The Dark Age"
"mace                ","Mace - The Dark Age"
" mace the dark age  ","Mace - The Dark Age"
"madden 64           ","Madden NFL '98"
"madden 64the        ","Madden NFL '98"
"madden nfl 99       ","Madden NFL '99"
"madden nfl 2000     ","Madden NFL 2000"
"magical tetris      ","Magical Tetris Challenge"
"magical tetris chall","Magical Tetris Challenge"
"mahjong64           ","Mahjong 64"
"mahjong 64          ","Mahjong 64"
"           classic  ","Mahjong Classic"
"mahjong classic     ","Mahjong Classic"
"masters'98          ","Mahjong Masters '98"
"masters 98          ","Mahjong Masters '98"
"simulation mahjongdo","Mahjong (Jangou Simulation)"
"jangou mahjong do 64","Mahjong (Jangou Simulation)"
"mariogolf64         ","Mario Golf 64"
"mario golf 64       ","Mario Golf 64"
"mario no photopie   ","Mario No Photopie"
"marioparty          ","Mario Party"
"mariopartyus        ","Mario Party"
"marioparty2         ","Mario Party 2"
"micromachines64turbo","Micro Machines 64 Turbo"
"micro machines turbo","Micro Machines 64 Turbo"
"piazza strikezone   ","Mike Piazza Strike Zone"
"milos_astro_lanes   ","Milo's Astro Lanes"
"milo's astro lanes  ","Milo's Astro Lanes"
"mischief makers     ","Mischief Makers"
"mission impossible  ","Mission Impossible"
"mlb featuring k g jr","MLB feat. Ken Griffey"
